date,category,title,link,description,source
2026-09-24,Press_Releases,Guinea-Bissau National Day,https://www.state.gov/releases/office-of-the-spokesman/2026/09/guinea-bissau-national-day-2/,"<p>Marco Rubio, Secretary of State</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-default-hero module featured-cont",US_Department_of_State
2026-09-23,Press_Releases,Joint Statement on the Launch of the Andes-Atlantic Corridor,https://www.state.gov/releases/office-of-the-spokesman/2026/09/joint-statement-on-the-launch-of-the-andes-atlantic-corridor/,"<p>Office of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-default-hero module featured-content page",US_Department_of_State
2026-09-23,Press_Releases,United States and Argentina Launch Andes-Atlantic Corridor Fact Sheet,https://www.state.gov/releases/office-of-the-spokesman/2026/09/united-states-and-argentina-launch-andes-atlantic-corridor-fact-sheet/,"<p>Office of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-default-hero module featured-content page",US_Department_of_State
2026-09-23,Press_Releases,United States Pledges Additional Life-Saving Health Assistance in Response to Ebola Outbreak,https://www.state.gov/releases/office-of-the-spokesman/2026/09/united-states-pledges-additional-life-saving-health-assistance-in-response-to-ebola-outbreak/,"<p>Office of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-default-hero module featured-content page",US_Department_of_State
2026-09-23,Press_Releases,Secretary Rubio’s Meeting with Indian External Affairs Minister Jaishankar,https://www.state.gov/releases/office-of-the-spokesman/2026/09/secretary-rubios-meeting-with-indian-external-affairs-minister-jaishankar-4/,"<p>Office of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-default-hero module featured-content page",US_Department_of_State
2026-09-23,Press_Releases,Protecting the Sanctity of U.S. Citizenship: A New Visa Restriction Policy for Those Who Engage in or Facilitate Birth Tourism,https://www.state.gov/releases/office-of-the-spokesman/2026/09/protecting-the-sanctity-of-u-s-citizenshipa-new-visa-restriction-policy-for-those-who-engage-in-or-facilitate-birth-tourism/,"<p>Marco Rubio, Secretary of State</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-default-hero module featured-cont",US_Department_of_State
2026-09-23,Press_Releases,Secretary Rubio’s Meeting with Russian Foreign Minister Lavrov,https://www.state.gov/releases/office-of-the-spokesman/2026/09/secretary-rubios-meeting-with-russian-foreign-minister-lavrov-3/,"<p>Office of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-default-hero module featured-content page",US_Department_of_State
2026-09-23,Press_Releases,The United States Announces Civil Nuclear Initiatives on the Margins of the United Nations General Assembly,https://www.state.gov/releases/office-of-the-spokesman/2026/09/the-united-states-announces-civil-nuclear-initiatives-on-the-margins-of-the-united-nations-general-assembly/,"<p>Office of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-default-hero module featured-content page",US_Department_of_State
2026-09-22,Press_Releases,Efforts to Achieve Peace in Sudan,https://www.state.gov/releases/office-of-the-spokesman/2026/09/efforts-to-achieve-peace-in-sudan/,"<p>Thomas &quot;Tommy&quot; Pigott, SpokesmanOffice of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block",US_Department_of_State
2026-09-22,Press_Releases,United States to Provide Additional $31 Million to Support Nepal’s Flood Recovery Efforts,https://www.state.gov/releases/office-of-the-spokesman/2026/09/united-states-to-provide-additional-31-million-to-support-nepals-flood-recovery-efforts/,"<p>Office of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-default-hero module featured-content page",US_Department_of_State
2026-09-21,Near_East_Middle_East,Secretary Rubio’s Meeting with Iraqi Prime Minister Al-Zaidi,https://www.state.gov/releases/office-of-the-spokesman/2026/09/secretary-rubios-meeting-with-iraqi-prime-minister-al-zaidi/,"<p>Office of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-default-hero module featured-content page",US_Department_of_State
2026-09-21,East_Asia_Pacific,"Joint Statement from the Trilateral Meeting of the United States of America, Japan, and the Republic of Korea in New York City",https://www.state.gov/releases/office-of-the-spokesman/2026/09/joint-statement-from-the-trilateral-meeting-of-the-united-states-of-america-japan-and-the-republic-of-korea-in-new-york-city-2/,"<p>Office of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-default-hero module featured-content page",US_Department_of_State
2026-09-21,Europe_Eurasia,Malta National Day,https://www.state.gov/releases/office-of-the-spokesman/2026/09/malta-national-day-2/,"<p>Marco Rubio, Secretary of State</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-default-hero module featured-cont",US_Department_of_State
2026-09-21,Europe_Eurasia,Armenia National Day,https://www.state.gov/releases/office-of-the-spokesman/2026/09/armenia-national-day-2/,"<p>Marco Rubio, Secretary of State</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-default-hero module featured-cont",US_Department_of_State
2026-09-21,Europe_Eurasia,Secretary Rubio’s Meeting with Italian Foreign Minister Tajani,https://www.state.gov/releases/office-of-the-spokesman/2026/09/secretary-rubios-meeting-with-italian-foreign-minister-tajani-4/,"<p>Office of the Spokesman</p>

<section class=""wp-block-default-hero-container wp-block-default-hero-container--no-featured-content "">

	<div class=""wp-block-default-hero module featured-content page",US_Department_of_State
2026-09-21,Europe_Eurasia,Secretary Rubio and Italian Deputy PM and FM Antonio Tajani at a Critical Minerals MOU Signing Ceremony,https://www.state.gov/releases/office-of-the-spokesman/2026/09/secretary-rubio-and-italian-deputy-pm-and-fm-antonio-tajani-at-a-critical-minerals-mou-signing-ceremony/,"<p>Marco Rubio, Secretary of State</p>
<p>Antonio Tajani, Italian Deputy Prime Minister and Foreign Minister</p>
<p>New York City, New York</p>
<p>Lotte New York Palace</p>

<section class=""wp-block-d",US_Department_of_State
